"Uuid","Void/Retire","Mappings|NARROWER-THAN","Mappings|SAME-AS","Fully specified name:en","Fully specified name:fr","Short name:en","Short name:fr","Description:en","Description:fr","Data class","Data type","Absolute low","Critical low","Normal low","Normal high","Critical high","Absolute high","Units","Allow decimals","Display precision","_version:1","_order:1000","Mappings|BROADER-THAN","Mappings|ASSOCIATED-WITH","Answers","Members"
"68da084b-d93c-4b6c-bf44-1cf6c0252d16","","","LOINC:39231-0","Amphetamines screen, urine","","AMP screen urine","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"161495AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED NP:359788000","CIEL:161495;LOINC:20469-3","Antinuclear antibodies","","ANA","","","","LabSet","N/A","","","","","","","","","","","","","","","161494AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
"4fd6e5f5-e348-4d12-8260-d01257eef389","","","LOINC:39233-6","Barbiturates screen, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"1341AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","AMPATH:1341;SNOMED CT:271038001;CIEL:1341;IMO ProcedureIT:1066561;LOINC:706-0","Basophils (%) - microscopic exam","Basophiles (%)","","","Type of leukocyte, with coarse granules that stain blue when exposed to a basic dye. Basophils normally constitute 1% or less of the total white blood cell count but may increase or decrease in certain diseases.  This is a microscopic exam.","","Test","Numeric","0.0","","","","","100.0","%","No","","","","","","",""
"b91a6540-661d-45a2-9bd6-32f85f9fb814","","","LOINC:39234-4","Benzodiazepines screen, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"161485AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:117027007;CIEL:161485;IMO ProcedureIT:936030;IMO ProcedureIT:936091;LOINC:635-3","Body fluid culture and sensitivity","","Body fluid C/S","","","","Test","Text","","","","","","","","","","","","","","",""
"ff910613-be23-4a0f-9590-951536e5d084","","","LOINC:1986-9","C-peptide in serum/plasma (ng/mL)","","","","","","Test","Numeric","0.0","","","","","","ng/mL","Yes","","","","","","",""
"159653AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","AMPATH:6119","SNOMED CT:104613001;CIEL:159653;IMO ProcedureIT:682821;LOINC:16325-3","Creatine kinase, isoenzyme MB fraction","créatine kinase, fraction isoenzyme MB","CK-mb %","","Myocardial band fraction of creatine kinase in percent","","Test","Numeric","","","","","","","%","No","","","","","","",""
"493eb6d1-c7c6-4b4a-bf7e-ac7b289ce6ee","","","LOINC:39237-7","Cocaine screen, urine","","","","","","Test","Coded","","","","","","","","","","","","","","163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"159661AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","AMPATH:6121","SNOMED CT:8879006;CIEL:159661;LOINC:2162-6","creatinine measurement, urine, 24 hour","","","","Measurement of creatinine in 24 hour urinary sample in mmol/L","","Test","Numeric","","","","","","","mmol/L","Yes","","","","","","",""
"161134AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","SNOMED CT:167181009;CIEL:161134;IMO ProcedureIT:682825;LOINC:2164-2","Creatinine clearance test","","","","Urine creatinine clearance, or the volume of plasma cleared of creatinine per unit of time, taken through 24-hour collection","","Test","Numeric","0.0","","","","","","ml/min/1.73m2","Yes","","","","","","",""
"159648AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:252399001","SNOMED MVP:1596481000105008;CIEL:159648;LOINC:634-6","Cerebrospinal fluid bacterial culture","Culture bactérienne liquide céphalorachidien","CSF bacterial culture","","Bacterial culture of CSF sample","","Test","Text","","","","","","","","","","","","","","",""
"793871a2-f31f-40c9-be14-d55aaecfe6d1","","","LOINC:14357-8","CSF Gram Stain Test","Test de coloration de Gram du LCR","CSF Gram stain","Gram LCR","Microscopic Gram stain of cerebrospinal fluid (CSF). Mapped to LOINC 14357-8 (Gram stain in CSF). Used as a rapid preliminary step to describe bacterial morphology and Gram reaction when evaluating suspected meningitis or ventriculitis; results are almost always qualitative or narrative (e.g. Gram-positive cocci in pairs; Gram-negative bacilli; polymicrobial pattern; no organisms seen). No numeric absolute low or high; critical low or high; or normal range applies because the datatype is Text rather than a quantitative scale.","Coloration de Gram microscopique du liquide céphalorachidien (LCR). LOINC 14357-8. Examen rapide pour décrire la morphologie bactérienne et la réaction de Gram (méningite ou ventriculite suspectée). Résultat le plus souvent qualitatif ou narratif. Pas de valeurs numériques de référence (basse ou haute absolue; critiques; normales) car le type de donnée est Texte.","Test","Text","","","","","","","","","","","","","","",""
"159646AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","AMPATH:6132","SNOMED CT:84130004;CIEL:159646;IMO ProcedureIT:926831;LOINC:2880-3","Cerebrospinal fluid protein measurement","Mesure de protéines dans le liquide céphalo-rachidien","CSF protein","","Examination of protein level in CSF in mg/dL","","Test","Numeric","","","","","","","mg/dL","Yes","","","","","","",""
"166018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","","LOINC:48065-7","D-dimer","","","","","","Test","Numeric","0.0","","","","","","","No","","","","","","",""
"167441AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","","SNOMED CT:399256002","CIEL:167441;LOINC:32290-9","HIV DNA polymerase chain reaction, dried blood spot (DBS)","Réaction en chaîne par polymérase de l'ADN du VIH, goutte de sang séché (DBS)","HIV DNA PCR, DBS","","","","Test","Coded","","","","","","","","","","","","","","1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
