concept,member,member type,sort weight
Serum Protein Electrophoresis,Serum albumin,concept-set,1
Serum Protein Electrophoresis,Alpha 1 globulin level,concept-set,2
Serum Protein Electrophoresis,Alpha 2 globulin level,concept-set,3
Serum Protein Electrophoresis,Beta globulin level,concept-set,4
Serum Protein Electrophoresis,Gamma globulin level,concept-set,5
Syphilis serology panel (TPHA/RPR/VDRL),RAPID PLASMA REAGIN,concept-set,1
Syphilis serology panel (TPHA/RPR/VDRL),TREPONEMA PALLIDUM HEMAGGLUTINATION ASSAY,concept-set,2
Syphilis serology panel (TPHA/RPR/VDRL),VDRL,concept-set,3
Complete blood count,Immature Granulocyte Percentage,concept-set,1
Complete blood count,Granulocyte count,concept-set,2
Complete blood count,Granulocyte %,concept-set,3
Complete blood count,"Combined % of monocytes, eosinophils and basophils",concept-set,4
Complete blood count,Immature Platelet Fraction,concept-set,5
Complete blood count,Nucleated Red Blood Cell Count,concept-set,6
Complete blood count,Nucleated Red Blood Cell %,concept-set,7
Complete blood count,Immature Reticulocyte Fraction,concept-set,8
Complete blood count,Mean Reticulocyte Volume,concept-set,9
Complete blood count,Reticulocyte Hemoglobin Equivalent,concept-set,10
Urinalysis Microscopy,Urine routine and microscopy,concept-set,1
Urinalysis Microscopy,Urine microscopy,concept-set,2
