Uuid,Void/Retire,Name,Description,Format,Foreign,Searchable
14d4f066-15f5-102d-96e4-000c29c2a5d7,0,Telephone Number,The telephone number for the person,java.lang.String,,
8b56eac7-5c76-4b9c-8c6f-1deab8d3fc47,0,Unknown patient,Used to flag patients that cannot be identified during the check-in process,java.lang.String,,
553bedc6-4e59-42d3-b80b-d3cf02a792bd,0,House Number,House Number,java.lang.String,,
e1695908-916d-4c9e-b62b-90b512492da2,0,kebele,kebele,java.lang.String,,
169a5cdd-b67a-46fb-a84d-f5f3f15b09be,0,Rural,Residential Type-Rural,java.lang.String,,
f5579bfd-d1cd-4e55-9387-7746edba7919,0,Urban,Residential Type-Urban,java.lang.String,,
14d4f066-15f5-102d-96e4-000c29c2a5d7,0,Telephone Number,Telephone Number,java.lang.String,,true
a69aae3d-8c79-4ac5-a218-88889f007163,0,Work Phone Number,Work Phone Number,java.lang.String,,true
b3269e45-8e40-44a1-a5f2-bbb2765c6287,0,Home Phone Number,Home Phone Number,java.lang.String,,true
8d871f2a-c2cc-11de-8d13-0010c6dffd0f,0,Civil Status,Marital Status,java.lang.String,,
89e3700a-e188-4bc0-87d2-de7518d80dd1,0,Facility,Facility the patient is taking treamtment,java.lang.String,,
dd468f12-c84e-4795-8a7d-d0f4565c460c,0,religion,religion,java.lang.String,,
6358aaf3-aaa8-4b92-8f08-211558b47164,0,Other Religion,Other Religion,java.lang.String,,
f047003e-d0f4-408e-abf2-b4b1380cb9ef,0,Other Level of Education,Other Level of Education,java.lang.String,,
f55fec56-83dd-4ae1-9937-772b4fedb4e2,0,Other Place of Delivery,Other Place of Delivery,java.lang.String,,
8b6d3e24-cc65-4255-8f2d-26c206b1fc7c,0,Other Mode of Delivery,Other Mode of Delivery,java.lang.String,,
f377c58e-1e35-4f2d-b244-18ca2641aa81,0,Occupation,Occupation,java.lang.String,,
db28b835-b843-4203-9ced-3c623d223904,0,Level of Education,Level of Education,java.lang.String,,
39e19115-c35d-4e5d-a180-d5049fec5bcb,0,Target Population Category,Target Population Category,java.lang.String,,
1794bcad-b2d2-47ae-8e26-1d4ec31ade13,0,Mobile Telephone Numbers,Mobile Telephone Numbers,java.lang.String,,true
0afcfd8b-dce1-44cf-a8f4-90cb4bda23b3,0,Source Encounter UUID,ICT elicited contact information encounter UUID,java.lang.String,,
